 Year, Age, Team, Lg, Round, W/L, Opp,Totals G,Totals W,Totals L,Totals MP,Totals FG,Totals FGA,Totals 3P,Totals 3PA,Totals FT,Totals FTA,Totals ORB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Totals PTS,Shooting FG%,Shooting 3P%,Shooting FT%,Per Game MP,Per Game PTS,Per Game TRB,Per Game AST
2018,33,CLE,2018,ECS,W(4-0),TOR,4,4,0,167,57,103,3,18,19,33,2,33,45,7,4,8,6,136,.553,.167,.576,41.8,34.0,8.3,11.3
2018,33,CLE,2018,ECF,W(4-3),BOS,7,4,3,288,86,164,18,44,45,65,6,63,59,8,8,40,18,235,.524,.409,.692,41.1,33.6,9.0,8.4
2018,33,CLE,2018,FIN,L(0-4),GSW,4,0,4,179,49,93,6,18,32,38,9,34,40,5,4,20,11,136,.527,.333,.842,44.7,34.0,8.5,10.0
2020,35,LAL,2020,WC1,W(4-1),POR,5,4,1,164,48,80,13,28,28,38,4,51,51,6,2,25,8,137,.600,.464,.737,32.9,27.4,10.2,10.2
2020,35,LAL,2020,WCS,W(4-1),HOU,5,4,1,178,46,90,10,34,27,38,4,52,37,10,9,21,10,129,.511,.294,.711,35.6,25.8,10.4,7.4
2020,35,LAL,2020,WCF,W(4-1),DEN,5,4,1,183,52,97,6,21,25,32,8,52,45,3,4,17,9,135,.536,.286,.781,36.6,27.0,10.4,9.0
2020,35,LAL,2020,FIN,W(4-2),MIA,6,4,2,236,68,115,15,36,28,42,12,71,51,7,3,21,13,179,.591,.417,.667,39.4,29.8,11.8,8.5
2021,36,LAL,2021,WC1,L(2-4),PHO,6,2,4,224,54,114,18,48,14,23,7,43,48,9,2,25,7,140,.474,.375,.609,37.3,23.3,7.2,8.0
2023,38,LAL,2023,WC1,W(4-2),MEM,6,4,2,223,52,107,8,41,21,31,14,67,31,6,8,18,11,133,.486,.195,.677,37.1,22.2,11.2,5.2
2023,38,LAL,2023,WCS,W(4-2),GSW,6,4,2,226,54,109,13,39,27,32,6,53,33,5,7,13,11,148,.495,.333,.844,37.6,24.7,8.8,5.5
2023,38,LAL,2023,WCF,L(0-4),DEN,4,0,4,171,41,79,7,26,22,29,5,38,40,6,3,9,6,111,.519,.269,.759,42.7,27.8,9.5,10.0
2024,39,LAL,2024,WC1,L(1-4),DEN,5,1,4,204,56,99,10,26,17,23,4,34,44,12,5,19,11,139,.566,.385,.739,40.8,27.8,6.8,8.8
