Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,Year
2012-13,NBA,Brooklyn Nets*,49,33,.598,2nd of 5,1.25,88.8,-3.2,108.2,2.3,106.2,0.3,Lost E. Conf. 1st Rnd.,"A. Johnson(14-14),P. Carlesimo(35-19)",D. Williams(10.9),2013
2011-12,NBA,New Jersey Nets,22,44,.333,5th of 5,-6.37,90.1,-1.2,102.9,-1.7,109.6,5.0,0,A. Johnson(22-44),K. Humphries(5.3),2012
2010-11,NBA,New Jersey Nets,24,58,.293,4th of 5,-6.28,89.9,-2.2,103.1,-4.2,109.9,2.6,0,A. Johnson(24-58),B. Lopez(6.3),2011
2009-10,NBA,New Jersey Nets,12,70,.146,5th of 5,-8.93,91.4,-1.3,100.6,-7.0,110.5,2.9,0,"L. Frank(0-16),T. Barrise(0-2),K. Vandeweghe(12-52)",B. Lopez(7.9),2010
2008-09,NBA,New Jersey Nets,34,48,.415,3rd of 5,-2.31,89.9,-1.8,108.3,0.0,111.0,2.7,0,L. Frank(34-48),V. Carter(7.5),2009
2007-08,NBA,New Jersey Nets,34,48,.415,4th of 5,-5.15,91.5,-0.9,104.0,-3.5,109.4,1.9,0,L. Frank(34-48),V. Carter(7.7),2008
2006-07,NBA,New Jersey Nets*,41,41,.500,2nd of 5,-1.00,91.4,-0.5,105.7,-0.8,106.6,0.1,Lost E. Conf. Semis,L. Frank(41-41),V. Carter(10.5),2007
2005-06,NBA,New Jersey Nets*,49,33,.598,1st of 5,1.11,89.8,-0.7,103.9,-2.3,102.4,-3.8,Lost E. Conf. Semis,L. Frank(49-33),R. Jefferson(11.7),2006
2004-05,NBA,New Jersey Nets*,42,40,.512,3rd of 5,-1.82,89.1,-1.8,101.4,-4.7,103.1,-3.0,Lost E. Conf. 1st Rnd.,L. Frank(42-40),V. Carter(8.5),2005
2003-04,NBA,New Jersey Nets*,47,35,.573,1st of 7,1.88,89.4,-0.7,100.8,-2.1,98.0,-4.9,Lost E. Conf. Semis,"B. Scott(22-20),L. Frank(25-15)",R. Jefferson(11.0),2004
2002-03,NBA,New Jersey Nets*,49,33,.598,1st of 7,4.42,91.6,0.6,103.8,0.2,98.1,-5.5,Lost Finals,B. Scott(49-33),J. Kidd(11.3),2003
2001-02,NBA,New Jersey Nets*,52,30,.634,1st of 7,3.67,91.8,1.1,104.0,-0.5,99.5,-5.0,Lost Finals,B. Scott(52-30),J. Kidd(8.9),2002
2000-01,NBA,New Jersey Nets,26,56,.317,6th of 7,-5.30,91.8,0.5,100.0,-3.0,105.5,2.5,0,B. Scott(26-56),S. Marbury(7.8),2001
1999-00,NBA,New Jersey Nets,31,51,.378,6th of 7,-1.18,92.5,-0.6,105.1,1.0,106.3,2.2,0,D. Casey(31-51),S. Marbury(7.4),1900
1998-99,NBA,New Jersey Nets,16,34,.320,7th of 7,-3.20,91.5,2.6,99.5,-2.7,103.6,1.4,0,"J. Calipari(3-17),D. Casey(13-17)",S. Marbury(4.0),1999
1997-98,NBA,New Jersey Nets*,43,39,.524,3rd of 7,1.88,91.0,0.7,108.3,3.3,106.6,1.6,Lost E. Conf. 1st Rnd.,J. Calipari(43-39),K. Kittles(8.4),1998
1996-97,NBA,New Jersey Nets,26,56,.317,5th of 7,-3.89,92.4,2.3,104.7,-2.0,109.7,3.0,0,J. Calipari(26-56),K. Gill(8.8),1997
1995-96,NBA,New Jersey Nets,30,52,.366,6th of 7,-4.14,90.9,-0.9,101.9,-5.7,106.5,-1.1,0,B. Beard(30-52),A. Gilliam(6.7),1996
1994-95,NBA,New Jersey Nets,30,52,.366,5th of 7,-3.28,92.3,-0.6,105.2,-3.1,108.6,0.3,0,B. Beard(30-52),K. Anderson(6.8),1995
1993-94,NBA,New Jersey Nets*,45,37,.549,3rd of 7,2.11,95.5,0.4,107.2,0.9,104.9,-1.4,Lost E. Conf. 1st Rnd.,C. Daly(45-37),D. Coleman(9.9),1994
