Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,Year
1993-94,NBA,Seattle SuperSonics*,63,19,.768,1st of 7,8.68,95.1,0.0,111.1,4.8,101.5,-4.8,Lost W. Conf. 1st Rnd.,G. Karl(63-19),S. Kemp(11.7),1994
1992-93,NBA,Seattle SuperSonics*,55,27,.671,2nd of 7,6.66,96.0,-0.8,112.3,4.3,104.9,-3.1,Lost W. Conf. Finals,G. Karl(55-27),S. Kemp(9.1),1993
1991-92,NBA,Seattle SuperSonics*,47,35,.573,4th of 7,1.86,95.4,-1.2,110.7,2.5,108.8,0.6,Lost W. Conf. Semis,"K. Jones(18-18),B. Kloppenburg(2-2),G. Karl(27-15)",R. Pierce(7.8),1992
1990-91,NBA,Seattle SuperSonics*,41,41,.500,5th of 7,1.31,96.2,-1.6,109.7,1.8,108.5,0.6,Lost W. Conf. 1st Rnd.,K. Jones(41-41),D. McKey(6.4),1991
1989-90,NBA,Seattle SuperSonics,41,41,.500,4th of 7,1.40,95.3,-3.0,110.9,2.8,109.8,1.7,0,B. Bickerstaff(41-41),M. Cage(6.8),1990
1988-89,NBA,Seattle SuperSonics*,47,35,.573,3rd of 7,2.44,100.1,-0.5,111.5,3.7,108.6,0.8,Lost W. Conf. Semis,B. Bickerstaff(47-35),D. Ellis(10.8),1989
1987-88,NBA,Seattle SuperSonics*,44,38,.537,3rd of 6,1.29,100.2,0.6,110.2,2.2,108.1,0.1,Lost W. Conf. 1st Rnd.,B. Bickerstaff(44-38),D. Ellis(9.0),1988
1986-87,NBA,Seattle SuperSonics*,39,43,.476,4th of 6,0.08,101.8,1.0,110.7,2.4,110.3,2.0,Lost W. Conf. Finals,B. Bickerstaff(39-43),D. Ellis(9.3),1987
1985-86,NBA,Seattle SuperSonics,31,51,.378,5th of 6,-0.47,97.4,-4.7,105.9,-1.3,106.0,-1.2,0,B. Bickerstaff(31-51),J. Sikma(7.8),1986
1984-85,NBA,Seattle SuperSonics,31,51,.378,4th of 6,-5.44,99.3,-2.8,102.8,-5.1,108.2,0.3,0,L. Wilkens(31-51),J. Sikma(8.3),1985
1983-84,NBA,Seattle SuperSonics*,42,40,.512,3rd of 6,-0.34,99.7,-1.7,107.9,0.3,108.1,0.5,Lost W. Conf. 1st Rnd.,L. Wilkens(42-40),J. Sikma(9.7),1984
1982-83,NBA,Seattle SuperSonics*,48,34,.585,3rd of 6,2.88,103.2,0.1,105.9,1.2,102.8,-1.9,Lost W. Conf. 1st Rnd.,L. Wilkens(48-34),J. Sikma(9.8),1983
1981-82,NBA,Seattle SuperSonics*,52,30,.634,2nd of 6,3.69,100.0,-0.9,106.4,-0.5,102.3,-4.6,Lost W. Conf. Semis,L. Wilkens(52-30),J. Sikma(12.6),1982
1980-81,NBA,Seattle SuperSonics,34,48,.415,6th of 6,-1.84,100.3,-1.5,103.2,-2.3,104.8,-0.7,0,L. Wilkens(34-48),J. Sikma(8.0),1981
1979-80,NBA,Seattle SuperSonics*,56,26,.683,2nd of 6,4.24,101.8,-1.3,105.8,0.5,101.2,-4.1,Lost W. Conf. Finals,L. Wilkens(56-26),G. Williams(11.6),1980
1978-79,NBA,Seattle SuperSonics*,52,30,.634,1st of 6,2.69,103.4,-2.4,102.7,-1.1,100.1,-3.7,Won Finals,L. Wilkens(52-30),J. Sikma(8.8),1979
1977-78,NBA,Seattle SuperSonics*,47,35,.573,3rd of 5,1.48,104.8,-1.9,99.2,-1.7,97.7,-3.2,Lost Finals,"B. Hopkins(5-17),L. Wilkens(42-18)",M. Webster(8.7),1978
1976-77,NBA,Seattle SuperSonics,40,42,.488,4th of 5,-1.43,106.8,0.3,96.7,-2.8,98.2,-1.3,0,B. Russell(40-42),F. Brown(6.1),1977
1975-76,NBA,Seattle SuperSonics*,43,39,.524,2nd of 5,-0.15,107.7,2.2,98.3,0.0,98.6,0.3,Lost W. Conf. Semis,B. Russell(43-39),F. Brown(8.8),1976
1974-75,NBA,Seattle SuperSonics*,43,39,.524,2nd of 5,-1.19,105.5,1.0,96.7,-1.0,97.7,0.0,Lost W. Conf. Semis,B. Russell(43-39),F. Brown(7.9),1975
1973-74,NBA,Seattle SuperSonics,36,46,.439,3rd of 5,-2.29,110.2,2.4,96.8,-0.9,99.1,1.4,0,B. Russell(36-46),S. Haywood(9.7),1974
1972-73,NBA,Seattle SuperSonics,26,56,.317,4th of 5,-5.33,110.0,-0.7,93.8,-3.0,99.1,2.3,0,"T. Nissalke(13-32),B. Buckwalter(13-24)",S. Haywood(10.2),1973
1971-72,NBA,Seattle SuperSonics,47,35,.573,3rd of 5,0.86,110.5,-1.5,98.5,0.6,98.1,0.2,0,L. Wilkens(47-35),L. Wilkens(9.6),1972
1970-71,NBA,Seattle SuperSonics,38,44,.463,4th of 5,-1.53,116.5,1.4,98.4,1.2,100.1,2.9,0,L. Wilkens(38-44),D. Snyder(10.0),1971
1969-70,NBA,Seattle SuperSonics,36,46,.439,5th of 7,-2.43,116.4,-0.7,100.0,1.0,102.1,3.1,0,L. Wilkens(36-46),D. Snyder(6.0),1970
1968-69,NBA,Seattle SuperSonics,30,52,.366,6th of 7,-4.68,117.4,0.5,94.7,-0.8,98.8,3.3,0,A. Bianchi(30-52),L. Wilkens(9.0),1969
1967-68,NBA,Seattle SuperSonics,23,59,.280,5th of 6,-6.00,123.9,4.1,95.4,-1.4,100.6,3.8,0,A. Bianchi(23-59),B. Rule(6.4),1968
